Nom_Produit,Marque,Categorie,Energie_kJ,Sucres_g,Graisses_Sat_g,Sel_g,Proteines_g,Fibres_g,Fruits_Legumes_Pct,NutriScore_Score,NutriScore_Lettre,Points_N,Points_P,GreenScore_Lettre,GreenScore_Score
Coleslaw choux blanc et carottes,Saladinettes,vegetables,454.0,6.7,0.6,1.0,0.9,2.4,0.0,7,C,7,0,A,77
Chopped tomatoes in tomato juice,Everyday Essentials,vegetables,93.0,3.8,0.1,0.01,1.1,0.8,0.0,1,B,1,0,A,86
Courgettes à la Provençale 14,Cassegrain,vegetables,260.0,5.2,0.5,0.71,1.8,1.3,82.0,-1,A,4,5,A,81
Carottes,Monique ranou,vegetables,326.0,5.0,0.4,0.87,0.7,2.5,0.0,5,C,5,0,A,80
Italian chopped tomatoes in tomato juice,Morrisons,vegetables,87.0,2.7,0.1,0.09,0.9,0.9,0.0,0,A,0,0,A,77
Excellence Noir Prodigieux 90 Cacao,Lindt,chocolates,2477.0,7.0,30.0,0.03,10.0,0.0,0.0,18,D,18,0,E,29
Chocolat noir  85 cacao,J.D. Gross,chocolates,2510.0,12.0,28.0,0.0,12.0,16.0,0.0,13,D,18,5,D,43
Organic 70 Dark Chocolate Bar,Green & Black's,chocolates,2428.0,29.0,25.0,0.01,9.1,10.0,0.0,16,D,21,5,D,40
Excellence Noir Intense 70 Cacao,Lindt,chocolates,2350.0,30.0,24.0,0.02,9.5,0.0,0.0,21,E,21,0,E,29
Dark chocolate,Green and black,chocolates,2530.0,13.9,30.0,0.131,10.0,12.8,0.0,13,D,18,5,C,55
Excellence Noir Puissant 85 Cacao,Lindt,chocolates,2418.0,15.0,27.0,0.02,12.5,0.0,0.0,21,E,21,0,E,29
Extra dark 74 Cocoa,fin CARRÉ,chocolates,2367.0,26.0,26.0,0.02,9.9,0.0,0.0,21,E,21,0,D,40
70 chocolate,Lindt & Sprüngli,chocolates,2370.0,30.0,24.0,5e-05,9.5,0.0,0.0,21,E,21,0,E,29
Excellence 85 Cacao Rich Dark,Lindt,chocolates,2420.0,15.0,27.0,0.0125,12.5,15.0,0.0,16,D,21,5,E,26
Edelbitter 70 Cacao,J.D Gross,chocolates,2280.0,28.0,24.8,0.0,8.8,12.0,0.0,15,D,20,5,E,16
Bitter Extra Kraftig,"Lindt,Lindt&Sprüngli",chocolates,2397.0,1.0,30.0,0.7,14.0,0.0,0.0,20,E,20,0,E,24
Nestlé Dessert,Nestlé,chocolates,2285.0,46.4,20.2,0.01,6.0,7.3,0.0,21,E,26,5,D,43
Chocolat au lait,Milka,chocolates,2255.0,55.0,19.0,0.275,6.5,2.3,0.0,32,E,32,0,E,26
Lidl Organic Dark Chocolate,LIDL,chocolates,2510.0,26.666666666667,26.666666666667,0.0,10.0,10.0,0.0,16,D,21,5,C,53
Excellence Noir Subtil Doux 70 Cacao,Lindt Excellence,chocolates,2528.0,29.0,29.0,0.01,6.9,0.0,0.0,21,E,21,0,E,29
Chocolat Noir 92 cacao,Dark Excellente,chocolates,2430.0,10.0,33.0,0.0,15.0,0.0,0.0,18,D,18,0,E,15
Dark Chocolate,Tesco finest,chocolates,2470.0,28.0,27.0,0.1,7.0,11.0,0.0,16,D,21,5,D,30
Dark milk chocolate,Tesco,chocolates,2479.0,33.6,27.8,0.23,9.9,5.6,0.0,24,E,27,3,C,48
Excellence Noir Corsé 78 Cacao,Lindt,chocolates,2410.0,3.4,5.8,0.0075,10.0,0.0,0.0,12,D,12,0,E,29
Chocolat monogram,Macao,chocolates,2209.0,53.0,18.0,0.0,5.0,7.3,0.0,26,E,31,5,E,15
Chocolate Negro,Dark Excelente,chocolates,2354.0,12.0,30.0,0.02,14.0,0.0,0.0,18,D,18,0,E,15
180G C OR NOIR NOISETTE,"Côte D’Or, Mondelez",chocolates,2381.0,40.0,16.0,0.01,7.3,7.8,0.0,21,E,26,5,E,29
Tagger,Bimo,chocolates,2235.0,47.0,18.0,0.18,3.3,1.5,0.0,26,E,26,0,D,33
Edelbitter Mild 90,J.D. Gross,chocolates,2500.0,7.3,31.4,0.02,11.0,14.6,0.0,13,D,18,5,D,34
Chocolat noir Equateur Bio,J.D. Gross,chocolates,2641.0,14.0,34.0,0.01,9.0,11.5,0.0,13,D,18,5,C,49
Excellence Noir à la Pointe de Fleur de Sel,Lindt,chocolates,2240.0,47.0,19.0,0.37,5.7,0.0,0.0,27,E,27,0,E,29
Dark Chocolate,Fin Carré,chocolates,2222.0,47.7,18.9,0.01,5.7,7.5,0.0,21,E,26,5,C,47
Chocolate negro 95 cacao,J. D. Gross,chocolates,2480.0,2.4,31.2,0.03,12.8,10.4,0.0,12,D,17,5,D,34
Toblerone,Toblerone,chocolates,2209.0,60.0,17.0,0.12,5.6,2.4,0.0,31,E,31,0,B,70
Organic Milk Chocolate,Green & Black's,chocolates,2347.0,46.0,22.0,0.22,9.8,2.8,0.0,28,E,28,0,C,59
Noir Extra,Poulain,chocolates,2119.0,52.0,18.0,0.01,4.9,7.2,0.0,26,E,31,5,E,29
Шоколад с 6 парченца малини,"J.D. Gross, Lidl",chocolates,2310.0,28.8,24.0,0.08,8.0,11.2,0.0,15,D,20,5,B,64
Milka Tablette Noisette,"Milka, Mondelez",chocolates,2356.0,45.0,16.0,0.22,8.2,3.7,0.0,26,E,27,1,D,33
NOIR DEGUSTATION 70 CARAMEL,"J.D. Gross, Lidl",chocolates,2280.0,35.2,22.4,0.16,7.2,9.6,0.0,20,E,25,5,D,44
Excellence Noir Délicat Doux 85 Cacao,Lindt EXCELLENCE,chocolates,2523.0,14.0,33.0,0.03,8.9,0.0,0.0,18,D,18,0,D,38
,Aiguebelle,chocolates,2142.0,25.3,24.4,0.01,9.2,0.0,0.0,20,E,20,0,E,29
délice noir,Aiguebelle,chocolates,2226.0,44.0,22.0,0.011,5.2,0.0,0.0,25,E,25,0,E,15
85 Cocoa  Dark Chocolate,Moser Roth,chocolates,2530.0,13.2,32.0,0.0012,10.8,13.2,0.0,13,D,18,5,E,20
Noir equitable 85 Pérou,Alter Eco,chocolates,2640.0,14.0,32.0,0.01,8.1,13.0,0.0,13,D,18,5,C,54
single origin milk chocolate,Marks & Spencer,chocolates,2586.0,37.2,29.1,0.25,8.4,0.0,0.0,27,E,27,0,D,34
Chocolat noir 85 Madagascar,Ethiquable,chocolates,2562.0,14.0,31.0,0.0,11.0,11.0,0.0,13,D,18,5,C,49
Milka oreo,Milka Oreo,chocolates,2333.0,50.0,19.0,0.45,5.0,0.2,0.0,28,E,28,0,E,19
Chocolate negro,"Carrefour BIO, Carrefour",chocolates,2353.0,27.0,26.0,0.03,9.6,12.0,0.0,16,D,21,5,C,49
Absolute black dark chocolate,Montezuma's,chocolates,2477.0,3.0,33.0,0.02,13.0,17.0,0.0,12,D,17,5,E,28
Čokoláda na vaření,"Fin Carré, lidl",chocolates,2125.0,48.0,18.0,0.0,6.8,10.0,0.0,21,E,26,5,C,46
180G LT NOISETTE COTE D OR,Côte d'Or,chocolates,2322.0,43.0,14.0,0.18,9.3,5.1,0.0,22,E,25,3,D,33
Dark Chocolate,TESCO finest,chocolates,2640.0,13.0,33.0,0.1,10.0,13.0,0.0,13,D,18,5,D,30
Noir 70 Intense,"Côte d'Or,Mondelēz",chocolates,2510.0,28.0,29.0,0.05,7.0,11.0,0.0,16,D,21,5,E,29
Milka wholenut,Milka,chocolates,2322.0,47.0,15.0,0.3,8.1,0.0,0.0,27,E,27,0,E,24
Fine  Gourmande Noir 70,"Fine gourmande,Poulain",chocolates,2226.0,0.5,27.0,0.01,7.6,11.0,0.0,11,D,16,5,E,29
Tentation aiguebelle,Aiguebelle,chocolates,2435.0,10.5,29.8,0.03,10.0,0.0,0.0,18,D,18,0,E,15
Noir intense dessert 70,Lindt,chocolates,2280.0,30.0,22.0,0.03,9.6,0.0,0.0,20,E,20,0,E,28
Milk Chocolate,Ferrero Rocher,chocolates,2554.0,45.4,21.4,0.16,6.2,0.0,0.0,27,E,27,0,E,17
AFTER EIGHT Coffret 300g,"After Eight, Nestlé",chocolates,1791.0,66.2,7.6,0.0,2.2,2.8,0.0,27,E,27,0,E,20
NAPOLITAIN,Aiguebelle,chocolates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,A,0,0,E,16
Excellence Noir Orange Intense,Lindt,chocolates,2229.0,46.0,17.0,0.08,7.0,0.0,0.0,26,E,26,0,B,70
SLICED WHITE SOURDOUGH BREAD WITH GRAINS  SEEDS,JASONS SOURDOUGH,breads,992.0,1.4,0.3,0.89,10.7,4.7,0.0,0,A,6,6,A,79
Pain de mie grandes tranches Seigle  Graines 500g,la Boulangère,breads,1246.0,4.2,1.0,0.96,12.0,7.2,0.0,-2,A,8,10,A,83
Jasons Sourdough,Jasons,breads,975.0,2.6,0.2,0.855,9.3,3.6,0.0,2,B,6,4,A,84
14 Maxi Tranches complet sans sucres ajoutés,Jacquet,breads,1026.0,3.8,0.3,1.2,8.7,6.6,0.0,2,B,9,7,A,83
Dark Rye Crispbread,Ryvita,breads,1480.0,2.86,0.19,0.705,10.5,14.5,0.0,-2,A,7,9,A,82
Seed Sensations,Hovis,breads,1160.0,3.86,0.682,0.886,10.0,5.23,0.0,1,B,8,7,A,78
Bakery Co 5 The Original Bagels,New York Bakery Co,breads,958.0,4.4,0.8,0.188,7.8,2.6,0.0,0,A,3,3,A,81
Rye  Mixed Seed Sourdough Bread,Tesco,breads,1100.0,2.4,0.8,0.765,8.6,6.8,0.0,-1,A,6,7,A,82
pain de mie grandes tranches spécial sandwich complet,"Lidl,Maître Jean Pierre",breads,1089.0,5.0,0.5,1.0,8.3,6.3,0.0,2,B,9,7,B,74
Harrys brioche tressee nature au sucre perle sans additifs 500g,Harrys,breads,1496.0,13.0,1.0,0.8,8.6,4.5,0.0,4,C,9,5,C,47
100 mie complet 500g,Harry's,breads,1053.0,5.5,0.4,1.1,7.5,6.5,0.0,2,B,9,7,A,85
MULTISEED WHOLEMEAL FARMHOUSE LOAF,Sainsbury's taste the difference,breads,1136.0,4.2,1.1,0.84,12.8,7.4,0.0,-1,A,9,10,A,75
Biscottes 6 Céréales,Heudebert,breads,1698.0,3.4,2.4,1.6,13.0,5.0,0.0,12,D,15,3,A,77
Brioche moins de sucre,Harrys,breads,1354.0,9.3,1.1,1.0,8.4,7.2,0.0,6,C,11,5,C,49
Pain grillé au blé complet,LU Pelletier,breads,1636.0,2.6,2.1,1.8,12.0,5.1,0.0,12,D,15,3,B,70
Classic Torinesi Breadsticks,Crosta & Mollica,breads,1700.0,2.8,1.0,2.1,19.8,1.2,0.0,15,D,15,0,A,85
Harrys pain de mie 100 mie nature sans croute 500g,Harrys,breads,1115.0,7.0,0.3,1.1,7.0,4.0,0.0,5,C,9,4,A,86
Pain de mie grandes tranches Toastiligne complet,la boulangère,breads,953.0,2.8,0.9,0.98,10.0,6.2,0.0,-2,A,6,8,B,74
Wholemeal Sliced Wholemeal Bread,Warburtons,breads,950.0,2.52,0.42,0.945,10.5,6.3,0.0,-2,A,6,8,B,67
6 Wraps blé complet,Old El Paso,breads,1240.0,2.24,1.03,1.05,9.14,5.17,0.0,3,C,9,6,A,78
Seeded Batch,Warburtons,breads,1231.0,2.6,1.3,0.95,10.6,6.0,0.0,0,A,8,8,B,68
The Original Crunchy Rye Breads,Ryvita,breads,1480.0,2.86,0.19,0.762,10.5,13.3,0.0,-2,A,7,9,B,72
Pain de mie american sandwich complet sans sucres ajoutés 600g,Harrys,breads,1178.0,3.6,0.5,1.1,7.7,8.1,0.0,1,B,9,8,B,74
Tasty Wholemeal Medium,Hovis,breads,920.0,4.0,0.5,0.888,10.0,6.75,0.0,-1,A,7,8,B,67
5050 Medium Bread,Kingsmill,breads,982.0,8.75,1.0,0.95,9.5,11.8,0.0,-1,A,7,8,B,67
Grilletines blé complet,"Brioche Pasquier, Pasquier",breads,1760.0,7.3,2.0,0.87,13.0,6.7,0.0,8,C,12,4,A,79
Wholemeal Bread,Warburtons,breads,953.0,2.46,0.446,0.943,10.5,6.47,0.0,-2,A,6,8,B,67
Harrys beau  bon pain de mie farine de ble cereales  graines 320g,Harrys,breads,1206.0,3.5,0.7,1.0,12.0,6.0,0.0,0,A,9,9,A,80
Ryvita Multigrain Crispbread,RYVITA,breads,1480.0,3.81,0.952,0.571,12.4,17.1,0.0,-3,A,7,10,B,72
Italian Original Breadsticks,Tesco,breads,1748.0,2.8,1.4,1.8,11.2,2.8,0.0,15,D,15,0,A,87
Tartines de Pain Blé Complet,Brioche Pasquier,breads,1615.0,4.2,0.8,1.5,13.0,8.7,0.0,7,C,12,5,A,80
4 Greek Style Flatbreads,K Kitchen Deli,breads,1076.0,2.9,1.0,0.89,11.3,6.7,0.0,-1,A,7,8,A,78
Le Ravioli pur boeuf,Panzani,ravioli,384.0,1.4,0.8,0.75,3.8,1.6,0.0,3,C,4,1,B,68
Ravioli au tofu tomates basilic,Céréal Bio,ravioli,465.0,2.9,0.4,0.74,3.8,3.8,0.0,2,B,4,2,A,87
Ravioli pur bœuf  sans colorant ni conservateur,Panzani,ravioli,384.0,1.6,0.8,0.9,3.8,0.8,0.0,4,C,5,1,B,61
GIRASOLI RICOTTA EPINARD,Lustucru Lustucru selection,ravioli,1024.0,3.6,4.0,1.1,8.1,2.9,0.0,13,D,13,0,B,62
Ravioli boeuf,"Lustucru, Lustucru selection",ravioli,1111.0,3.8,2.0,1.0,9.0,2.4,0.0,11,D,11,0,E,16
Ravioli vegetariens,"Carrefour BIO, Carrefour",ravioli,360.0,3.7,0.1,0.83,2.4,1.5,0.0,6,C,6,0,A,82
Chicken Gyoza Dinner Dumplings,Itsu,ravioli,649.0,2.5,1.2,0.71,8.2,1.7,0.0,2,B,5,3,D,37
Beef Ravioli,Heinz,ravioli,310.0,3.1,0.7,0.6,2.5,0.8,0.0,1,B,2,1,C,50
Ravioli bio au blé complet épinards ricotta burrata,Giovanni Rana,ravioli,1064.0,4.1,2.6,0.96,9.9,3.7,0.0,5,C,10,5,A,80
PZ RAVIOLI BOLO 800GR,Panzani,ravioli,431.0,1.9,1.7,0.85,4.5,0.7,0.0,5,C,6,1,B,60
Ravioli chèvre et ciboulette,"Jardin bio, LÉA NATURE",ravioli,366.0,4.9,0.6,0.54,3.0,1.8,0.0,3,C,4,1,A,75
Ravioli pur bœuf,Zapetti,ravioli,351.0,1.9,0.8,0.85,3.7,1.1,0.0,4,C,5,1,B,67
Le Ravioli Bolognaise sans conservateur,Panzani,ravioli,433.0,1.9,1.7,0.85,4.5,1.3,0.0,5,C,6,1,C,59
Girasoli Potiron  Petits Oignons Grillés Plaisir du Primeux,Rana,ravioli,1037.0,7.7,2.6,0.73,8.8,6.8,0.0,2,B,9,7,B,67
Pesto basilic et pignons,Giovanni Rana,ravioli,1288.0,4.6,5.3,1.1,8.7,6.9,0.0,10,C,14,4,C,55
Gourmet  Pâtes fraîches aux œufs farcies aux champignons,"Giovanni Rana, Rana",ravioli,1087.0,4.5,2.5,1.1,9.1,7.0,0.0,6,C,11,5,B,62
Lustucru ravioli chevre epinard 250g,Lustucru selection,ravioli,1132.0,4.4,2.8,0.93,8.8,2.3,0.0,7,C,10,3,C,50
Ravioles du Dauphiné LABEL ROUGE IGP Lot de,Saint jean,ravioli,1195.0,1.5,8.1,1.5,13.0,2.5,0.0,18,D,18,0,B,72
Girasoli cepes ricotta 250g,"Lustucru, Lustucru selection",ravioli,1048.0,7.1,2.7,1.1,8.1,2.9,0.0,11,D,11,0,B,63
Grandi Girasoli  Ricotta Epinards  Mascarpone,"Giovanni Rana, Rana",ravioli,993.0,3.8,4.1,1.4,11.0,5.2,0.0,10,C,13,3,B,71
ravioli pur boeuf,"Marque Repère, Côté Table",ravioli,358.0,2.7,0.8,0.7,4.0,1.5,18.39,3,C,4,1,B,69
Ravioli au fromages,D'ANTELLI,ravioli,1109.0,6.3,3.4,1.0,11.0,1.9,0.0,12,D,12,0,C,50
Raviolis du Dauphiné,Nos Régions ont du Talent,ravioli,1203.0,1.8,7.5,1.7,14.0,1.4,0.0,18,D,18,0,B,63
Plaisir du primeur,"Giovanni Rana, Rana",ravioli,925.0,6.1,2.4,1.1,8.28,5.5,0.0,4,C,10,6,B,71
Cèpes Ricotta  Champignons rôtis,Rana,ravioli,958.0,5.0,3.9,1.2,8.0,4.5,0.0,9,C,11,2,B,67
Ravioli pur bœuf,Carrefour,ravioli,483.0,3.2,1.1,0.92,4.1,1.5,0.0,5,C,6,1,A,76
Ravioli 6 Légumes,"Marque Repère, Côté Table",ravioli,366.0,2.1,0.3,0.8,2.9,1.7,0.0,4,C,5,1,B,68
Ravioli 6 légumes,Zapetti,ravioli,316.0,2.3,0.5,0.77,2.7,1.8,0.0,2,B,3,1,B,73
Ravioli 4 fromages,Carrefour,ravioli,1141.0,3.3,3.4,1.0,11.0,2.2,0.0,11,D,11,0,C,54
Ravioli de légumes,"Jardin Bio étic, Jardin bio, Léa Nature",ravioli,319.0,3.0,0.2,0.65,2.3,1.4,0.0,3,C,3,0,A,87
Ravioli pur boeuf,"Marque Repère, Côté Table",ravioli,358.0,2.7,0.8,0.7,4.0,1.5,18.39,3,C,4,1,C,59
Ravioli ricotta épinard sauce à la tomate,Picard,ravioli,515.0,4.0,1.9,0.7875,5.4,1.8,0.0,4,C,6,2,B,64
Gyoza poulet legumes,AJINOMOTO,ravioli,782.0,2.7,2.4,0.85,7.3,1.5,0.0,5,C,8,3,C,55
Ravioli épinard et ricotta,"Jardin Bio Etic,Jardin bio",ravioli,328.0,0.0,1.6,0.7,2.2,0.5,0.0,4,C,4,0,A,80
8 Gyoza aux légumes,Picard,ravioli,651.0,3.9,0.5,1.2,4.6,2.0,58.0,5,C,7,2,A,76
Ravioli Pikant,"Nestlé, Maggi",ravioli,335.0,1.7,0.7,0.91,3.2,1.0,0.0,3,C,4,1,C,59
Cappelletti Jambon Cru,Giovanni Rana,ravioli,1267.0,5.1,3.1,1.9,13.0,0.0,0.0,16,D,16,0,C,55
vegan Medaglioni with spinach broccoli and olives,Vemondo,ravioli,909.0,3.1,0.7,1.32,6.3,4.8,0.0,4,C,8,4,B,74
Raviolis 4 fromages,"Marque Repère, Turini",ravioli,1216.0,3.2,3.2,1.1,12.0,1.6,0.0,11,D,11,0,C,54
Ravioli Ricotta Epinards,"Bio Village, Marque Repère",ravioli,1031.0,2.8,2.0,1.4,8.6,3.4,12.4,10,C,11,1,A,75
Gyoza poulet,Ajinomoto,ravioli,712.0,1.7,1.1,1.1,7.6,1.9,0.0,5,C,8,3,E,25
Ravioli pur boeuf français,Zapetti,ravioli,391.0,1.9,0.8,0.85,3.7,1.1,0.0,4,C,5,1,B,61
Gyoza crevettes,Ajinomoto,ravioli,763.0,2.3,0.7,0.83,9.7,1.4,0.0,2,B,6,4,B,64
Ravioli au boeuf,Panzani,ravioli,322.0,1.6,0.3,0.85,3.3,0.5,0.0,3,C,4,1,B,69
Ravioli 4 fromages,Lidl,ravioli,1134.0,3.3,3.4,1.0,11.0,2.2,0.0,11,D,11,0,C,50
Ravioli aux girolles poêlées  persil de la Drôme sachet,Saint jean,ravioli,1114.0,1.5,2.4,1.3,9.2,4.2,0.0,9,C,11,2,A,76
POMPOTES Compotes Gourdes Pomme Nature 1x90g,"Materne, POM'POTES, Sans sucres ajoutés",compotes,257.0,11.0,0.2,0.01,0.5,1.2,0.0,1,B,1,0,A,89
Compote de pomme allégée,Andros,compotes,264.0,14.0,0.0,0.0,0.3,1.9,0.0,1,B,1,0,A,86
Compote Pomme Nature,Andros,compotes,230.0,12.0,0.0,0.0,0.3,1.9,92.0,-4,A,1,5,A,87
Compote pommes allégée en sucres,Freshona,compotes,300.0,16.0,0.0,0.0,0.2,2.2,0.0,4,C,4,0,A,87
Pomme vanille,Andros,compotes,362.0,20.0,0.0,0.0,0.3,1.7,0.0,5,C,5,0,A,86
pomme poire,Andros,compotes,331.0,18.0,0.0,0.0,0.3,1.6,0.0,4,C,4,0,A,87
PomPotes Pomme,"Materne, Pom' Potes",compotes,293.0,12.0,0.2,0.1,0.5,1.2,0.0,1,B,1,0,A,89
Purée de pommes sans sucres ajoutés,Vergers Gourmands,compotes,229.0,10.0,0.0,0.0,0.9,0.4,0.0,1,B,1,0,A,89
PomPotes PommePoire,Materne,compotes,243.0,10.0,0.2,0.01,0.5,1.6,0.0,1,B,1,0,A,80
Pomme Châtaigne,Andros,compotes,544.0,27.0,0.0,0.0,0.5,1.8,0.0,5,C,5,0,A,79
Pêche morceaux généreux,Andros,compotes,331.0,17.0,0.0,0.02,0.9,1.9,0.0,4,C,4,0,A,76
Pom Potes Pomme Banane,"Materne, Pom' Potes",compotes,272.0,12.0,0.2,0.01,0.5,1.3,0.0,1,B,1,0,A,80
Pomme,Carrefour,compotes,225.0,11.0,0.0,0.04,0.0,1.7,0.0,1,B,1,0,A,81
Compote de pommes morceaux,Andros,compotes,396.0,21.0,0.0,0.0,0.2,1.3,0.0,5,C,5,0,A,76
Pommes Poires Williams sans sucre ajouté,Charles & Alice,compotes,234.0,11.0,0.1,0.01,0.5,1.6,0.0,1,B,1,0,A,89
Compote de pomme,"Marque Repère, Douceur du Verger",compotes,228.0,12.0,0.1,0.01,0.5,1.7,0.0,1,B,1,0,A,86
Pommes  sans sucres ajoutés,Charles & Alice,compotes,233.0,11.0,0.1,0.0,0.5,1.5,0.0,1,B,1,0,A,85
Dessert fruitier Sans Sucres Ajoutés Pomme Fraise,andros,compotes,219.0,11.0,0.0,0.0,0.4,2.2,0.0,1,B,1,0,A,79
Gourde 5 fruits pomme abricot pêche poire banane,"Materne, Pom'potes",compotes,236.0,12.0,0.2,0.01,0.5,1.4,0.0,1,B,1,0,A,80
Pommes Mangues avec morceaux,Charles & Alice,compotes,277.0,13.0,0.2,1e-05,0.5,1.5,99.8,-4,A,1,5,A,85
Pommes Abricots Bergeron,Charles & Alice,compotes,192.0,8.8,0.0,0.01,0.0,1.0,0.0,1,B,1,0,A,88
PomPotes 5 fruits sans sucres ajoutés,Materne,compotes,228.0,9.67,0.222,0.0111,0.556,1.44,0.0,1,B,1,0,A,80
Pompotes 5 fruits Pomme Goyave Mangue Ananas Passion,Materne,compotes,237.0,10.0,0.2,0.01,0.5,1.4,98.0,-4,A,1,5,A,81
Compote pomme mirabelle,POMPOTES,compotes,245.0,11.0,0.2,0.01,0.5,1.0,0.0,1,B,1,0,A,89
Pomme Chataigne,Andros,compotes,536.0,25.0,0.0,0.0,0.5,2.0,0.0,5,C,5,0,A,87
Pommes Myrtille SSA,Charles & Alice,compotes,230.0,11.0,0.1,0.01,0.5,1.0,0.0,1,B,1,0,A,88
Postre de manzana,Jamar,compotes,328.0,17.0,0.1,0.0,0.5,1.9,0.0,4,C,4,0,A,76
Compote pomme banane,Andros,compotes,369.0,20.0,0.0,0.0,0.4,1.8,0.0,5,C,5,0,A,81
dessert fruitier pommes nature,Andros,compotes,310.0,17.0,0.0,0.0,0.3,1.3,92.0,-1,A,4,5,A,80
Abricot morceaux moelleux,Andros,compotes,412.0,21.0,0.0,0.03,0.7,1.6,0.0,5,C,5,0,A,79
Compote de pommes allégée en sucres,"Carrefour, Simpl",compotes,256.0,14.0,0.0,0.0,0.0,1.8,0.0,1,B,1,0,A,87
Pommes avec morceaux,VERGER GOURMAND,compotes,297.0,14.0,0.2,0.03,0.3,1.0,0.0,1,B,1,0,A,76
Pomme morceaux sans sucre ajoute,Andros,compotes,213.0,11.0,0.0,0.0,0.3,1.3,0.0,1,B,1,0,A,76
The white one or purple one Organic,Ella's kitchen,compotes,301.0,15.1,0.2,0.03,0.8,1.7,0.0,4,C,4,0,D,44
PomPotes PommeFramboise,"Materne, Pom' Potes",compotes,237.0,10.0,0.111,0.0111,0.556,1.67,0.0,1,B,1,0,A,80
Pomme vanille,Carrefour,compotes,218.0,11.0,0.1,0.04,0.3,1.7,0.0,1,B,1,0,A,89
